age,annual_income_usd,savings_rate_pct,debt_to_income_ratio,investment_horizon_years,investment_experience,investment_goal,risk_tier
60,90000,12.1,0.43,20,Advanced,Retirement,Medium
50,60000,9.8,0.2,30,Beginner,Retirement,High
36,45000,15.9,0.45,5,Intermediate,Income,Low
64,45000,17.9,0.3,15,Advanced,Retirement,Medium
29,45000,7.8,0.35,15,Beginner,Wealth building,Medium
42,90000,10.8,0.08,20,Beginner,Wealth building,Medium
60,90000,12.4,0.31,10,Intermediate,Wealth building,Medium
40,75000,14.0,0.18,10,Beginner,Retirement,Medium
44,75000,13.0,0.35,15,Beginner,Wealth building,Medium
32,90000,19.3,0.5,30,Advanced,Education,High
32,30000,0.8,0.32,25,Intermediate,Retirement,Medium
45,60000,2.2,0.14,20,Advanced,Education,Medium
57,180000,15.5,0.37,25,Advanced,Emergency fund,Medium
61,90000,9.2,0.34,10,Beginner,Emergency fund,Low
45,60000,21.1,0.59,25,Beginner,Emergency fund,Medium
24,75000,23.4,0.32,20,Beginner,Retirement,High
43,60000,15.9,0.19,15,Beginner,Wealth building,Medium
23,75000,5.4,0.4,25,Intermediate,Education,Medium
45,45000,22.4,0.26,25,Intermediate,Retirement,High
65,45000,15.6,0.29,25,Intermediate,Wealth building,Medium
51,45000,2.1,0.14,10,Beginner,Retirement,Low
59,140000,2.8,0.26,30,Beginner,Emergency fund,Medium
23,90000,26.1,0.28,30,Intermediate,Wealth building,High
42,45000,24.8,0.26,15,Intermediate,Wealth building,High
54,45000,0.0,0.19,5,Beginner,Retirement,Low
33,90000,3.1,0.32,10,Intermediate,Income,Medium
43,45000,23.1,0.14,30,Beginner,Retirement,High
65,60000,13.9,0.11,20,Beginner,Emergency fund,Low
46,180000,19.6,0.39,15,Intermediate,Wealth building,Medium
48,60000,13.5,0.37,15,Beginner,Education,Medium
63,90000,19.2,0.08,10,Intermediate,Retirement,Low
49,180000,14.0,0.01,20,Beginner,Education,High
37,60000,10.5,0.13,15,Beginner,Wealth building,Medium
36,30000,22.5,0.26,30,Beginner,Wealth building,High
65,60000,15.6,0.45,20,Advanced,Emergency fund,Medium
24,110000,19.2,0.26,25,Intermediate,Education,High
58,110000,15.3,0.16,15,Advanced,Emergency fund,Medium
28,110000,10.1,0.3,5,Intermediate,Education,Medium
42,45000,26.9,0.26,20,Intermediate,Retirement,High
30,110000,16.8,0.07,15,Beginner,Income,High
60,140000,11.2,0.07,10,Beginner,Retirement,Low
39,90000,24.2,0.08,30,Beginner,Emergency fund,High
25,140000,3.4,0.65,15,Beginner,Wealth building,Medium
46,110000,31.9,0.41,10,Intermediate,Wealth building,Medium
35,90000,12.6,0.19,10,Beginner,Retirement,Medium
30,75000,3.9,0.45,15,Beginner,Wealth building,Medium
47,60000,29.2,0.19,30,Beginner,Retirement,High
23,45000,10.3,0.44,10,Intermediate,Wealth building,Medium
